COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
The United Kingdom,GBR,EURO,REPORTING,2022-09-11,151248820,53813491,222.8,79.983,50762968,75.449,,2020-12-21,3,,
Turkey,TUR,EURO,REPORTING,2023-01-29,139694693,50974980,,60.735,50670345,59.77,,,3,27896331,32.906
Afghanistan,AFG,EMRO,REPORTING,2023-11-07,22207574,18618143,57.047,47.827,17836792,45.82,,2021-02-22,11,2506382,6.438
Burundi,BDI,AFRO,REPORTING,2023-11-05,41538,36909,0.349,0.31,36321,0.305,,2021-10-18,1,314,0.003
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940,356734,154.669,64.162,308720,55.526,,2021-03-18,4,749,0.135
Cayman Islands,CYM,AMRO,REPORTING,2023-06-02,151822,62085,231.013,94.469,60664,92.307,,2021-01-15,1,24064,36.616
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390,3220,269.595,92.449,2976,85.444,,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894,41715,212.614,85.368,40895,83.69,,,2,21284,43.557
France,FRA,EURO,REPORTING,2023-07-09,158060078,54677676,234.8,80.56,53189148,78.367,,2020-12-23,9,41042160,60.47
Italy,ITA,EURO,REPORTING,2023-10-01,150322633,50581361,252,85.692,49484658,83.829,,2020-12-23,9,44917500,76.092
Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980,100900,184.162,84.471,81474,68.208,,2021-05-26,2,37606,31.483
Nauru,NRU,WPRO,REPORTING,2023-02-20,32157,13106,296.816,120.971,11346,104.726,,2021-04-09,2,7705,71.119
New Zealand,NZL,WPRO,REPORTING,2023-04-21,12252378,4241210,254.081,87.951,4084115,84.693,,2021-02-19,4,2719283,56.391
Nicaragua,NIC,AMRO,REPORTING,2023-06-02,15498213,6404524,233.951,96.679,6117158,92.341,,2021-03-03,11,2892531,43.664
Palau,PLW,WPRO,REPORTING,2023-03-10,51032,18573,282.069,102.659,18278,101.028,,2021-01-03,3,12885,71.219
Paraguay,PRY,AMRO,REPORTING,2023-06-02,9784169,3995915,137.177,56.024,3547736,49.74,,2021-02-22,8,1660692,23.283
Philippines,PHL,WPRO,REPORTING,2023-03-19,189317158,82684774,172.764,75.455,78443972,71.585,,2021-03-01,11,23811248,21.729
Pitcairn Islands,PCN,WPRO,REPORTING,2022-08-29,117,47,234,94,47,94,,2021-05-17,1,23,46
Republic of Korea,KOR,WPRO,REPORTING,2023-09-04,135927574,44698288,265.125,87.184,44288342,86.384,,2021-02-26,5,33644119,65.622
Russian Federation,RUS,EURO,OWID,2023-09-27,187374508,89081596,128.4,61.392,79702396,54.928,,,2,,
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130,191403,228.376,96.466,177954,89.688,,2021-04-18,2,82268,41.463
Sierra Leone,SLE,AFRO,REPORTING,2023-07-30,9155936,5676123,114.779,71.156,4961886,62.203,,2021-03-15,2,1201709,15.065
Singapore,SGP,WPRO,REPORTING,2023-08-29,15302530,5284679,261.566,90.331,5248693,89.716,,2020-12-30,4,4769158,81.519
Sint Eustatius,XBA,AMRO,REPORTING,2023-06-02,4319,1791,137.592,57.056,1686,53.711,,,,767,24.435
Spain,ESP,EURO,REPORTING,2023-09-03,112886307,41332084,238.5,87.138,37485721,79.029,,2020-12-30,4,26573833,56.024
Switzerland,CHE,EURO,REPORTING,2023-07-02,16755985,6096600,193.6,70.145,5723066,65.847,,2020-12-23,6,4996650,57.49
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630,3295630,29.088,18.831,2358365,13.476,,2021-04-01,11,75881,0.434
Timor-Leste,TLS,SEARO,REPORTING,2023-10-18,2025301,886195,153.613,67.215,801019,60.755,,2021-04-07,4,338087,25.643
Viet Nam,VNM,WPRO,REPORTING,2023-06-30,266492149,90272853,273.779,92.741,85961564,88.312,,2021-03-08,6,57975220,59.56
